   147
 -1.612925E+00 -1.019041E-01 -3.414405E-01
 -1.512925E+00 -9.434091E-02 -3.391020E-01
 -1.412925E+00 -8.898505E-02 -3.393853E-01
 -1.312925E+00 -8.604850E-02 -3.425331E-01
 -1.212925E+00 -8.576601E-02 -3.488121E-01
 -1.112925E+00 -8.839748E-02 -3.585158E-01
 -1.012925E+00 -9.423101E-02 -3.719675E-01
 -9.129255E-01 -1.035860E-01 -3.895228E-01
 -8.129255E-01 -1.168170E-01 -4.115737E-01
 -7.129255E-01 -1.343170E-01 -4.385518E-01
 -6.129255E-01 -1.565227E-01 -4.709331E-01
 -5.129255E-01 -1.839188E-01 -5.092418E-01
 -4.129255E-01 -2.170435E-01 -5.540562E-01
 -3.129255E-01 -2.564946E-01 -6.060138E-01
 -2.129255E-01 -3.029359E-01 -6.658181E-01
 -1.129255E-01 -3.571050E-01 -7.342447E-01
 -1.292546E-02 -4.198204E-01 -8.121497E-01
  8.707454E-02 -4.919913E-01 -9.004779E-01
  1.870745E-01 -5.746270E-01 -1.000272E+00
  2.870745E-01 -6.688475E-01 -1.112682E+00
  3.870745E-01 -7.758955E-01 -1.238980E+00
  4.870745E-01 -8.971495E-01 -1.380567E+00
  5.870745E-01 -1.034138E+00 -1.538995E+00
  6.870745E-01 -1.188556E+00 -1.715973E+00
  7.870745E-01 -1.362279E+00 -1.913392E+00
  8.870745E-01 -1.557390E+00 -2.133339E+00
  9.870745E-01 -1.776190E+00 -2.378121E+00
  1.087075E+00 -2.021230E+00 -2.650287E+00
  1.187075E+00 -2.295338E+00 -2.952652E+00
  1.287075E+00 -2.601617E+00 -3.288329E+00
  1.387075E+00 -2.943540E+00 -3.660755E+00
  1.487075E+00 -3.324923E+00 -4.073731E+00
  1.587075E+00 -3.749987E+00 -4.531457E+00
  1.687075E+00 -4.223403E+00 -5.038577E+00
  1.787075E+00 -4.750332E+00 -5.600220E+00
  1.887075E+00 -5.336480E+00 -6.222059E+00
  1.987075E+00 -5.988151E+00 -6.910364E+00
  2.087075E+00 -6.712314E+00 -7.672062E+00
  2.187075E+00 -7.516668E+00 -8.514815E+00
  2.287075E+00 -8.409720E+00 -9.447088E+00
  2.387075E+00 -9.400871E+00 -1.047825E+01
  2.487075E+00 -1.050051E+01 -1.161863E+01
  2.587075E+00 -1.172012E+01 -1.287968E+01
  2.687075E+00 -1.307237E+01 -1.427405E+01
  2.787075E+00 -1.457128E+01 -1.581569E+01
  2.887075E+00 -1.623232E+01 -1.752002E+01
  2.987075E+00 -1.807262E+01 -1.940417E+01
  3.087075E+00 -2.011108E+01 -2.148697E+01
